2tvenom/cborencode                                                1.0.2      CBOR encoder for PHP
magento/module-re-captcha-admin-ui                                1.1.1      Google reCAPTCHA integration for Magento2
magento/module-re-captcha-checkout                                1.1.1      Google reCAPTCHA integration for Magento2
magento/module-re-captcha-contact                                 1.1.0      Google reCAPTCHA integration for Magento2
magento/module-re-captcha-customer                                1.1.1      Google reCAPTCHA integration for Magento2
magento/module-re-captcha-frontend-ui                             1.1.1      Google reCAPTCHA integration for Magento2
magento/module-re-captcha-migration                               1.1.1      Google reCAPTCHA config migration for Magento2
magento/module-re-captcha-newsletter                              1.1.1      Google reCAPTCHA integration for Magento2
magento/module-re-captcha-paypal                                  1.1.1      Google reCaptcha integration for Magento2 PayPal...
magento/module-re-captcha-review                                  1.1.1      Google reCAPTCHA integration for Magento2
magento/module-re-captcha-send-friend                             1.1.1      Google reCAPTCHA integration for Magento2
